utc_ts,game,viewers
2025-06-21T19:29:30,RAIDOU Remastered: The Mystery of the Soulless Army,4194
2025-06-21T19:29:30,Stellar Blade,4073
2025-06-21T19:29:30,Crypto,3990
2025-06-21T19:29:30,Halo Infinite,3864
2025-06-21T19:29:30,Talk Shows & Podcasts,3823
2025-06-21T19:29:30,Zenless Zone Zero,3795
2025-06-21T19:29:40,Counter-Strike,624159
2025-06-21T19:29:40,Just Chatting,592817
2025-06-21T19:29:40,VALORANT,314120
2025-06-21T19:29:40,IRL,111514
2025-06-21T19:29:40,Grand Theft Auto V,110841
2025-06-21T19:29:40,League of Legends,104393
2025-06-21T19:29:40,Call of Duty: Warzone,69494
2025-06-21T19:29:40,Dota 2,66167
2025-06-21T19:29:40,Path of Exile,60123
2025-06-21T19:29:40,Fortnite,59344
2025-06-21T19:29:40,The Blood of Dawnwalker,58094
2025-06-21T19:29:40,PEAK,44078
2025-06-21T19:29:40,Marvel Rivals,37610
2025-06-21T19:29:40,Overwatch 2,36321
2025-06-21T19:29:40,Minecraft,35642
2025-06-21T19:29:40,World of Warcraft,34383
2025-06-21T19:29:40,Special Events,31288
2025-06-21T19:29:40,Dead by Daylight,30561
2025-06-21T19:29:40,Borderlands 4,28569
2025-06-21T19:29:40,REMATCH,25180
2025-06-21T19:29:40,EA Sports FC 25,24812
2025-06-21T19:29:40,World of Tanks,22427
2025-06-21T19:29:40,DJs,22339
2025-06-21T19:29:40,Hearthstone,20283
2025-06-21T19:29:40,SCUM,16109
2025-06-21T19:29:40,Tom Clancy's Rainbow Six Siege X,15945
2025-06-21T19:29:40,Virtual Casino,15991
2025-06-21T19:29:40,Mario Kart World,15427
2025-06-21T19:29:40,Elden Ring: Nightreign,14994
2025-06-21T19:29:40,Dune: Awakening,14989
2025-06-21T19:29:40,Fall Guys,14550
2025-06-21T19:29:40,HELLDIVERS 2,14493
2025-06-21T19:29:40,PUBG: BATTLEGROUNDS,14422
2025-06-21T19:29:40,Hunt: Showdown 1896,13411
2025-06-21T19:29:40,Shadowverse: Worlds Beyond,13292
2025-06-21T19:29:40,Tibia,13250
2025-06-21T19:29:40,Apex Legends,12668
2025-06-21T19:29:40,Brawl Stars,12570
2025-06-21T19:29:40,ROBLOX,12298
2025-06-21T19:29:40,Rust,12289
2025-06-21T19:29:40,Chrono Odyssey,12173
2025-06-21T19:29:40,Magic: The Gathering,11937
2025-06-21T19:29:40,Sports,11490
2025-06-21T19:29:40,Sea of Thieves,11174
2025-06-21T19:29:40,Music,10756
2025-06-21T19:29:40,Old School RuneScape,10119
2025-06-21T19:29:40,Escape from Tarkov,10090
2025-06-21T19:29:40,Genshin Impact,9703
2025-06-21T19:29:40,Grand Theft Auto IV,9990
2025-06-21T19:29:40,Art,9619
2025-06-21T19:29:40,Clair Obscur: Expedition 33,8777
2025-06-21T19:29:40,Garena Free Fire,8613
2025-06-21T19:29:40,ASMR,8592
2025-06-21T19:29:40,Slots,8018
2025-06-21T19:29:40,Clash Royale,17177
2025-06-21T19:29:40,Street Fighter 6,8206
2025-06-21T19:29:40,Teamfight Tactics,7923
